,product_name_on_flipkart,retail_price_on_flipkart,discounted_price_on_flipkart,product_name_on_amazon,retail_price_on_amazon,discounted_price_on_amazon
0,fdt women's leggings pants,698,362,fdt women's leggings,699.0,309.0
1,"kuberbox sortilã¨ge pearl gold diamond, pearl 14k white gold 14 k ring",26051,31102,"kuberbox sortilège pearl gold diamond, pearl 14k white gold 14 k ring",26054.0,26054.0
2,kartique handmade wooden box for women jewel organizer square anchor dã©cor jewellery box vanity jewellery,314,325,kartique handmade wooden box for women jewel organizer square anchor décor jewellery box vanity jewellery,320.0,290.0
3,beyoutiful copper repoussï¿½ï¿½ - man with dhol showpiece  -  36 cm,1692,1253,beyoutiful copper repouss�� - man with dhol showpiece  -  36 cm,1710.0,999.0
4,prithish the only thing better than having you for a husbandâ¦â¦ ceramic mug,496,213,prithish the only thing better than having you for a husband…… ceramic mug,499.0,175.0
5,graco literider click connect ï¿½ marco,12484,11746,graco literider click connect � marco,12500.0,9375.0
6,jlrs bumper case for acerâ iconia w3-810|acerâ iconia w4-820,691,517,jlrs bumper case for acer iconia w3-810|acer iconia w4-820,699.0,449.0
7,billys cases with holder for all 7 inch tab/tablet 360â° rotating,695,294,billys cases with holder for all 7 inch tab/tablet 360° rotating,699.0,229.0
8,billys cases with holder for all 7 inch tab/tablet 360â° rotating,696,275,billys cases with holder for all 7 inch tab/tablet 360° rotating,699.0,229.0
9,jlrs bumper case for hpâ slate 6 voice tab|hpâ slate 6 voice tab,698,569,jlrs bumper case for hp slate 6 voice tab|hp slate 6 voice tab,699.0,449.0
10,jojo book cover for samsungâ galaxy tab 2 p3110 (16gb),574,343,jojo book cover for samsung galaxy tab 2 p3110 (16gb),590.0,285.0
11,karatcraft viã±a yellow gold diamond 18 k ring,39426,33093,karatcraft viña yellow gold diamond 18 k ring,39428.0,28080.0
12,radiant bay royal dã©cor white gold diamond 18 k ring,35970,33365,radiant bay royal décor white gold diamond 18 k ring,35974.0,28779.0
13,karatcraft viã±a yellow gold diamond 18 k ring,37925,30772,karatcraft viña yellow gold diamond 18 k ring,37935.0,26448.0
14,raydenhy hd screen guard tempered glass for huaweiâ honor 6,589,246,raydenhy hd screen guard tempered glass for huawei honor 6,599.0,199.0
15,saviour hpsavthb saviour tough hat âblue construction helmet,193,193,saviour hpsavthb saviour tough hat –blue construction helmet,198.0,165.0
16,â tarkan unique style-2016 umbrella,1994,412, tarkan unique style-2016 umbrella,1999.0,349.0
17,abcd s bean bag  with foam filling,2297,1004,abcd small bean bag  with foam filling,2299.0,899.0
18,mint 1351b solid girl's track pants,1002,794,mint 1351\34b solid girl's track pants,1008.0,655.0
19,change360â° floral print women's a-line skirt,1486,1841,change360° floral print women's a-line skirt,1499.0,1499.0
20,"weavers villa printed set of 3 scarves, stoles, dupattas s soft summer vibrant coloured trendy women's scarf",545,349,"weavers villa printed set of 3 scarves, stoles, dupattas small soft summer vibrant coloured trendy women's scarf",550.0,275.0
21,gemei body groomer gm-729ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ trimmer for men,986,790,gemei body groomer gm-729������ trimmer for men,999.0,699.0
22,united bags cross chain 35 l m laptop backpack,1981,744,united bags cross chain 35 l medium laptop backpack,1999.0,649.0
23,leaf tork 2.5 l m backpack,981,1063,leaf tork 2.5 l medium backpack,990.0,899.0
24,safari zoom 25 l s backpack,1186,626,safari zoom 25 l small backpack,1198.0,549.0
25,united bags 1000d rainbow 35 l m backpack,1593,727,united bags 1000d rainbow 35 l medium backpack,1599.0,599.0
26,united bags v cut 2.5 l m laptop backpack,1288,661,united bags v cut 2.5 l medium laptop backpack,1299.0,600.0
27,"cotab r2 â 360 degree rotatable ring stand holder for all smartphones , tablets & iphones mobile holder mobile holder",981,432,"cotab r2  360 degree rotatable ring stand holder for all smartphones , tablets & iphones mobile holder mobile holder",999.0,339.0
28,einfã¼hrung in die kernphysik,2104,2236,einführung in die kernphysik,2124.0,1805.0
29,"stanford league special cricket ball -   size: 5.1,  diameter: 1.5 cm",779,1005,"stanford league special cricket ball -   size: 5.1\2,  diameter: 1.5 cm",780.0,780.0
30,smart wall guru s adhesive sticker sticker,481,178,smart wall guru small adhesive sticker sticker,489.0,149.0
31,smart wall guru s adhesive sticker sticker,591,190,smart wall guru small adhesive sticker sticker,599.0,169.0
32,thoughtroad s paper sticker,498,390,thoughtroad small paper sticker,500.0,325.0
33,wall decal m self adhesive sticker,1193,407,wall decal medium self adhesive sticker,1199.0,349.0
34,elite collection m acrylic sticker,1289,1163,elite collection medium acrylic sticker,1299.0,999.0
35,elite collection m acrylic sticker,1280,1234,elite collection medium acrylic sticker,1299.0,999.0
36,walldesign s vinyl sticker,1490,922,walldesign small vinyl sticker,1500.0,730.0
37,walldesign s vinyl sticker,1205,693,walldesign small vinyl sticker,1220.0,600.0
38,wallmantra m vinyl stickers sticker,1425,1431,wallmantra medium vinyl stickers sticker,1429.0,1143.0
39,wallmantra m vinyl stickers sticker,1323,1010,wallmantra medium vinyl stickers sticker,1331.0,840.0
40,walldesign s vinyl sticker,1067,664,walldesign small vinyl sticker,1080.0,530.0
41,walldesign s vinyl sticker,1590,888,walldesign small vinyl sticker,1600.0,790.0
42,walldesign s vinyl sticker,1067,648,walldesign small vinyl sticker,1080.0,530.0
43,walldesign s vinyl sticker,1489,925,walldesign small vinyl sticker,1500.0,730.0
44,elite collection m acrylic sticker,1388,1165,elite collection medium acrylic sticker,1399.0,1049.0
45,walldesign s vinyl sticker,1063,660,walldesign small vinyl sticker,1080.0,530.0
46,elite collection m acrylic sticker,1289,1101,elite collection medium acrylic sticker,1299.0,999.0
47,walldesign s vinyl sticker,1340,833,walldesign small vinyl sticker,1360.0,660.0
48,elite collection m acrylic sticker,984,739,elite collection medium acrylic sticker,999.0,599.0
49,walldesign s vinyl sticker,1286,770,walldesign small vinyl sticker,1300.0,640.0
50,walldesign s vinyl sticker,1466,858,walldesign small vinyl sticker,1480.0,720.0
51,wallmantra m vinyl stickers sticker,714,698,wallmantra medium vinyl stickers sticker,727.0,582.0
52,999store m paper sticker,985,770,999store medium paper sticker,999.0,599.0
53,999store m paper sticker,998,671,999store medium paper sticker,999.0,599.0
54,walldesign s vinyl sticker,1117,658,walldesign small vinyl sticker,1120.0,550.0
55,walldesign s vinyl sticker,1297,810,walldesign small vinyl sticker,1300.0,640.0
56,999store m paper sticker,984,721,999store medium paper sticker,999.0,599.0
57,999store m paper sticker,994,683,999store medium paper sticker,999.0,599.0
58,walldesign s vinyl sticker,1286,789,walldesign small vinyl sticker,1300.0,640.0
59,elite collection m acrylic sticker,1289,1215,elite collection medium acrylic sticker,1299.0,999.0
60,walldesign s vinyl sticker,1029,625,walldesign small vinyl sticker,1040.0,510.0
